"Desenvolvedor","Data","EhAutor","Variabilidades"
"Arnold D. Robbins","2013-11-01","Colaborador",1
"Arnold D. Robbins","2013-12-01","Colaborador",22
"Arnold D. Robbins","2014-01-01","Colaborador",4
"Arnold D. Robbins","2014-02-01","Colaborador",20
"Arnold D. Robbins","2014-03-01","Colaborador",6
"Arnold D. Robbins","2014-04-01","Colaborador",7
"Arnold D. Robbins","2014-05-01","Colaborador",5
"Arnold D. Robbins","2014-06-01","Colaborador",1
"Arnold D. Robbins","2014-07-01","Colaborador",3
"Arnold D. Robbins","2014-08-01","Autor",6
"Arnold D. Robbins","2014-08-01","Colaborador",3
"Arnold D. Robbins","2014-09-01","Colaborador",20
"Arnold D. Robbins","2014-10-01","Colaborador",4
"Arnold D. Robbins","2014-11-01","Colaborador",14
"Arnold D. Robbins","2014-12-01","Colaborador",1
"Arnold D. Robbins","2015-01-01","Colaborador",1
"Arnold D. Robbins","2015-02-01","Autor",2
"Arnold D. Robbins","2015-02-01","Colaborador",2
"Arnold D. Robbins","2015-03-01","Colaborador",1
"Arnold D. Robbins","2015-04-01","Colaborador",1
"Arnold D. Robbins","2015-05-01","Autor",1
"Arnold D. Robbins","2015-05-01","Colaborador",1
"Arnold D. Robbins","2015-06-01","Autor",1
"Arnold D. Robbins","2015-06-01","Colaborador",2
"Arnold D. Robbins","2015-07-01","Colaborador",2
"Arnold D. Robbins","2015-08-01","Colaborador",14
"Arnold D. Robbins","2015-09-01","Autor",3
"Arnold D. Robbins","2015-09-01","Colaborador",1
"Arnold D. Robbins","2015-10-01","Colaborador",1
"Arnold D. Robbins","2015-11-01","Colaborador",1
"Arnold D. Robbins","2015-12-01","Colaborador",3
"Arnold D. Robbins","2016-01-01","Autor",1
"Arnold D. Robbins","2016-01-01","Colaborador",5
"Arnold D. Robbins","2016-02-01","Colaborador",1
"Arnold D. Robbins","2016-03-01","Colaborador",2
"Arnold D. Robbins","2016-04-01","Autor",1
"Arnold D. Robbins","2016-04-01","Colaborador",2
"Arnold D. Robbins","2016-05-01","Colaborador",3
"Arnold D. Robbins","2016-06-01","Colaborador",1
"Arnold D. Robbins","2016-07-01","Colaborador",3
"Arnold D. Robbins","2016-08-01","Colaborador",2
"Arnold D. Robbins","2016-09-01","Colaborador",1
"Arnold D. Robbins","2016-10-01","Colaborador",3
"Arnold D. Robbins","2016-11-01","Colaborador",3
"Arnold D. Robbins","2016-12-01","Colaborador",4
"Arnold D. Robbins","2017-01-01","Colaborador",1
"Arnold D. Robbins","2017-02-01","Colaborador",2
"Arnold D. Robbins","2017-03-01","Colaborador",2
"Arnold D. Robbins","2017-04-01","Colaborador",3
"Arnold D. Robbins","2017-05-01","Colaborador",2
"Arnold D. Robbins","2017-06-01","Colaborador",4
"Arnold D. Robbins","2017-07-01","Colaborador",1
"Arnold D. Robbins","2017-08-01","Autor",2
"Arnold D. Robbins","2017-08-01","Colaborador",3
"Arnold D. Robbins","2017-09-01","Colaborador",1
"Arnold D. Robbins","2017-10-01","Colaborador",3
"Arnold D. Robbins","2017-11-01","Colaborador",1
"Arnold D. Robbins","2017-12-01","Autor",1
"Arnold D. Robbins","2017-12-01","Colaborador",5
"Arnold D. Robbins","2018-01-01","Colaborador",15
"Arnold D. Robbins","2018-02-01","Colaborador",1
"Arnold D. Robbins","2018-03-01","Colaborador",3
"Arnold D. Robbins","2018-04-01","Colaborador",2
"Arnold D. Robbins","2018-05-01","Colaborador",1
"Arnold D. Robbins","2018-06-01","Colaborador",1
"Arnold D. Robbins","2018-07-01","Autor",15
"Arnold D. Robbins","2018-07-01","Colaborador",2
"Arnold D. Robbins","2018-08-01","Autor",12
"Arnold D. Robbins","2018-08-01","Colaborador",1
"Arnold D. Robbins","2018-09-01","Autor",6
"Arnold D. Robbins","2018-09-01","Colaborador",4
"Arnold D. Robbins","2018-10-01","Colaborador",2
"Arnold D. Robbins","2018-11-01","Colaborador",10
"Arnold D. Robbins","2018-12-01","Colaborador",1
"Arnold D. Robbins","2019-01-01","Colaborador",4
"Arnold D. Robbins","2019-02-01","Colaborador",5
"Arnold D. Robbins","2019-03-01","Colaborador",1
"Arnold D. Robbins","2019-04-01","Autor",1
"Arnold D. Robbins","2019-04-01","Colaborador",1
"Arnold D. Robbins","2019-05-01","Colaborador",1
"Arnold D. Robbins","2019-06-01","Colaborador",1
"Arnold D. Robbins","2019-07-01","Colaborador",1
"Arnold D. Robbins","2019-08-01","Colaborador",1
"Arnold D. Robbins","2019-09-01","Colaborador",1
"Arnold D. Robbins","2019-10-01","Autor",5
"Arnold D. Robbins","2019-10-01","Colaborador",1
"Arnold D. Robbins","2019-11-01","Colaborador",1
"Arnold D. Robbins","2019-12-01","Colaborador",22
"Arnold D. Robbins","2020-01-01","Colaborador",1
"Arnold D. Robbins","2020-02-01","Colaborador",5
"Arnold D. Robbins","2020-03-01","Colaborador",1
"Arnold D. Robbins","2020-04-01","Colaborador",1
"Arnold D. Robbins","2020-05-01","Colaborador",7
"Arnold D. Robbins","2020-06-01","Colaborador",8
"Arnold D. Robbins","2020-07-01","Colaborador",2
"Arnold D. Robbins","2020-08-01","Colaborador",1
"Arnold D. Robbins","2020-09-01","Colaborador",1
"Arnold D. Robbins","2020-10-01","Colaborador",1
"Arnold D. Robbins","2020-11-01","Colaborador",2
"Arnold D. Robbins","2020-12-01","Colaborador",1
"Arnold D. Robbins","2021-01-01","Colaborador",1
"John Haque","2011-08-01","Autor",2
"John Haque","2012-02-01","Autor",2
"John Haque","2012-03-01","Autor",1
"John Haque","2012-04-01","Autor",1
"John Haque","2012-05-01","Autor",1
"John Malmberg","2016-02-01","Autor",1
"John Malmberg","2017-11-01","Autor",1
"Juan Manuel Guerrero","2017-08-01","Autor",1
